eat,absorbPartsNum,Time-consuming
0.2,0,0.0
0.2,0,0.3
0.2,0,0.6
0.2,0,0.8999999999999999
0.2,0,1.2
0.2,0,1.5
0.2,0,1.8
0.2,0,2.1
0.2,0,2.4
0.2,0,2.6999999999999997
0.2,0,2.9999999999999996
0.2,0,3.2999999999999994
0.2,0,3.599999999999999
0.2,0,3.899999999999999
0.2,0,4.199999999999999
0.2,0,4.499999999999999
0.2,0,4.799999999999999
0.2,0,5.099999999999999
0.2,0,5.399999999999999
0.2,0,5.699999999999998
0.2,0,5.999999999999998
0.2,0,6.299999999999998
0.2,0,6.599999999999998
0.2,0,6.899999999999998
0.2,0,7.1999999999999975
0.2,0,7.499999999999997
0.2,0,7.799999999999997
0.2,0,8.099999999999998
0.2,0,8.399999999999999
0.2,0,8.7
0.2,0,9.0
0.2,0,9.3
0.2,0,9.600000000000001
0.2,0,9.900000000000002
0.2,0,10.200000000000003
0.2,0,10.500000000000004
0.2,0,10.800000000000004
0.2,0,11.100000000000005
0.2,0,11.400000000000006
0.2,0,11.700000000000006
0.2,0,12.000000000000007
0.2,0,12.300000000000008
0.2,0,12.600000000000009
0.2,0,12.90000000000001
0.2,0,13.20000000000001
0.2,0,13.50000000000001
0.2,0,13.800000000000011
0.2,0,14.100000000000012
0.2,0,14.400000000000013
0.2,0,14.700000000000014
0.2,0,15.000000000000014
0.2,0,15.300000000000015
0.2,0,15.600000000000016
0.2,0,15.900000000000016
0.2,0,16.200000000000017
0.2,0,16.500000000000018
0.2,0,16.80000000000002
0.2,0,17.10000000000002
0.2,0,17.40000000000002
0.2,0,17.70000000000002
0.2,0,18.00000000000002
0.2,0,18.300000000000022
0.2,0,18.600000000000023
0.2,0,18.900000000000023
0.2,0,19.200000000000024
0.2,0,19.500000000000025
0.2,0,19.800000000000026
0.2,0,20.100000000000026
0.2,0,20.400000000000027
0.2,0,20.700000000000028
0.2,0,21.00000000000003
0.2,0,21.30000000000003
0.2,0,21.60000000000003
0.2,0,21.90000000000003
0.2,0,22.20000000000003
0.2,0,22.500000000000032
0.2,0,22.800000000000033
0.2,0,23.100000000000033
0.2,0,23.400000000000034
0.2,0,23.700000000000035
0.2,0,24.000000000000036
0.2,0,24.300000000000036
0.2,0,24.600000000000037
0.2,0,24.900000000000038
0.2,0,25.20000000000004
0.2,0,25.50000000000004
0.2,0,25.80000000000004
0.2,0,26.10000000000004
0.2,0,26.40000000000004
0.2,0,26.700000000000042
0.2,0,27.000000000000043
0.2,0,27.300000000000043
0.2,0,27.600000000000044
0.2,0,27.900000000000045
0.2,0,28.200000000000045
0.2,0,28.500000000000046
0.2,0,28.800000000000047
0.2,0,29.100000000000048
0.2,0,29.40000000000005
0.2,0,29.70000000000005
0.2,0,30.00000000000005
0.2,0,30.30000000000005
0.2,0,30.60000000000005
0.2,0,30.900000000000052
0.2,0,31.200000000000053
0.2,0,31.500000000000053
0.2,0,31.800000000000054
0.2,0,32.10000000000005
0.2,0,32.40000000000005
0.2,0,32.700000000000045
0.2,0,33.00000000000004
0.2,0,33.30000000000004
0.2,0,33.60000000000004
0.2,0,33.900000000000034
